"Plot Title: EASY04927_CO_Flow_Temp"
"#","Date Time, GMT-05:00","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: EZF CO wkg)","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: EZF CO aux)","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: Flow)","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: CO HIgh)","Host Connected (LGR S/N: 10883702)","Stopped (LGR S/N: 10883702)","End Of File (LGR S/N: 10883702)"
29,11/14/24 01:00:28 PM,0.40097,0.30148,1.80259,0.40027,,,
30,11/14/24 01:00:29 PM,0.40135,0.30400,1.38918,0.40101,,,
31,11/14/24 01:00:30 PM,0.40002,0.30148,1.66125,0.40613,,,
32,11/14/24 01:00:31 PM,0.40097,0.30220,2.04902,0.40247,,,
33,11/14/24 01:00:32 PM,0.40257,0.30358,2.03273,0.40723,,,
34,11/14/24 01:00:33 PM,0.40295,0.30468,1.82086,0.40320,,,
35,11/14/24 01:00:34 PM,0.40192,0.30323,1.44633,0.40540,,,
36,11/14/24 01:00:35 PM,0.40440,0.30179,1.92309,0.40650,,,
37,11/14/24 01:00:36 PM,0.40341,0.30217,2.04135,0.40467,,,
38,11/14/24 01:00:37 PM,0.40288,0.30156,1.88094,0.40613,,,
39,11/14/24 01:00:38 PM,0.40032,0.30293,1.63252,0.40357,,,
40,11/14/24 01:00:39 PM,0.40513,0.29999,1.43496,0.40284,,,
41,11/14/24 01:00:40 PM,0.40093,0.30323,1.43107,0.40284,,,
42,11/14/24 01:00:41 PM,0.39937,0.30262,1.84520,0.40284,,,
43,11/14/24 01:00:42 PM,0.40108,0.30194,2.01621,0.40211,,,
44,11/14/24 01:00:43 PM,0.40005,0.30457,1.98016,0.40430,,,
45,11/14/24 01:00:44 PM,0.40055,0.30430,1.78618,0.40137,,,
46,11/14/24 01:00:45 PM,0.40200,0.30224,1.43065,0.40211,,,
47,11/14/24 01:00:46 PM,0.40253,0.30388,1.45243,0.40284,,,
48,11/14/24 01:00:47 PM,0.40124,0.30072,1.60388,0.40320,,,
49,11/14/24 01:00:48 PM,0.40120,0.30068,2.04505,0.40137,,,
50,11/14/24 01:00:49 PM,0.39971,0.30114,2.04620,0.40247,,,
51,11/14/24 01:00:50 PM,0.40181,0.30308,1.89067,0.40064,,,
52,11/14/24 01:00:51 PM,0.40253,0.30003,1.51652,0.40430,,,
53,11/14/24 01:00:52 PM,0.40276,0.30243,1.39654,0.40320,,,
54,11/14/24 01:00:53 PM,0.39994,0.30087,1.93339,0.40211,,,
55,11/14/24 01:00:54 PM,0.40139,0.30377,2.00523,0.40320,,,
56,11/14/24 01:00:55 PM,0.40078,0.30255,1.95602,0.40357,,,
57,11/14/24 01:00:56 PM,0.39963,0.30030,1.60258,0.40320,,,
58,11/14/24 01:00:57 PM,0.40101,0.29934,1.38689,0.40211,,,
59,11/14/24 01:00:58 PM,0.39990,0.30114,1.89071,0.40174,,,
60,11/14/24 01:00:59 PM,0.40257,0.30255,2.04528,0.40430,,,
61,11/14/24 01:01:00 PM,0.40139,0.30205,1.93050,0.40357,,,
62,11/14/24 01:01:01 PM,0.40398,0.30068,1.46830,0.40650,,,
63,11/14/24 01:01:02 PM,0.40322,0.30167,1.45415,0.40504,,,
64,11/14/24 01:01:03 PM,0.40425,0.30262,2.05047,0.40613,,,
65,11/14/24 01:01:04 PM,0.40318,0.30247,2.01835,0.40723,,,
66,11/14/24 01:01:05 PM,0.40227,0.30182,1.84558,0.40613,,,
67,11/14/24 01:01:06 PM,0.40124,0.30133,1.48985,0.40394,,,
68,11/14/24 01:01:07 PM,0.39761,0.29908,1.37659,0.39808,,,
69,11/14/24 01:01:08 PM,0.39723,0.30293,1.55070,0.39881,,,
70,11/14/24 01:01:09 PM,0.39727,0.30045,1.81918,0.40064,,,
71,11/14/24 01:01:10 PM,0.40040,0.30049,2.04234,0.39918,,,
72,11/14/24 01:01:11 PM,0.39887,0.30072,2.05673,0.40064,,,
73,11/14/24 01:01:12 PM,0.39921,0.29934,1.84440,0.40137,,,
74,11/14/24 01:01:13 PM,0.39834,0.30106,1.65061,0.40247,,,
75,11/14/24 01:01:14 PM,0.39956,0.29965,1.36294,0.40027,,,
76,11/14/24 01:01:15 PM,0.40131,0.30053,1.52632,0.40247,,,
77,11/14/24 01:01:16 PM,0.40036,0.30087,1.98196,0.40064,,,
78,11/14/24 01:01:17 PM,0.40063,0.30297,2.02911,0.40320,,,
79,11/14/24 01:01:18 PM,0.40181,0.30117,1.99577,0.40357,,,
80,11/14/24 01:01:19 PM,0.40398,0.30114,1.74613,0.40467,,,
81,11/14/24 01:01:20 PM,0.40387,0.30003,1.38602,0.40467,,,
82,11/14/24 01:01:21 PM,0.40272,0.30121,1.65061,0.40613,,,
83,11/14/24 01:01:22 PM,0.40349,0.30186,1.97696,0.40357,,,
84,11/14/24 01:01:23 PM,0.40227,0.29946,2.03471,0.40467,,,
85,11/14/24 01:01:24 PM,0.40154,0.29984,2.04803,0.40211,,,
86,11/14/24 01:01:25 PM,0.40066,0.30129,2.02365,0.40284,,,
87,11/14/24 01:01:26 PM,0.40089,0.29828,1.91238,0.40137,,,
88,11/14/24 01:01:27 PM,0.39925,0.30087,1.75952,0.40174,,,
89,11/14/24 01:01:28 PM,0.39902,0.30095,1.44060,0.40064,,,
90,11/14/24 01:01:29 PM,0.40478,0.30014,1.41588,0.40687,,,
91,11/14/24 01:01:30 PM,0.40211,0.30198,1.83642,0.40320,,,
92,11/14/24 01:01:31 PM,0.40215,0.30251,1.95983,0.40504,,,
93,11/14/24 01:01:32 PM,0.40215,0.29961,2.04669,0.40430,,,
94,11/14/24 01:01:33 PM,0.40040,0.30179,2.01354,0.40101,,,
95,11/14/24 01:01:34 PM,0.40158,0.30117,2.00313,0.40101,,,
96,11/14/24 01:01:35 PM,0.40326,0.30442,1.92077,0.40430,,,
97,11/14/24 01:01:36 PM,0.39921,0.30274,1.78130,0.40174,,,
98,11/14/24 01:01:37 PM,0.40196,0.30236,1.62943,0.40284,,,
99,11/14/24 01:01:38 PM,0.39826,0.30274,1.41104,0.40064,,,
100,11/14/24 01:01:39 PM,0.39906,0.30240,1.46483,0.40064,,,
101,11/14/24 01:01:40 PM,0.40112,0.30144,1.78145,0.40064,,,
102,11/14/24 01:01:41 PM,0.40158,0.30461,2.04936,0.40174,,,
103,11/14/24 01:01:42 PM,0.40162,0.30346,2.01110,0.40174,,,
104,11/14/24 01:01:43 PM,0.40169,0.30156,1.86255,0.40174,,,
105,11/14/24 01:01:44 PM,0.39834,0.30270,1.45323,0.39991,,,
106,11/14/24 01:01:45 PM,0.39979,0.30346,1.45083,0.40320,,,
107,11/14/24 01:01:46 PM,0.40215,0.30137,1.61902,0.40284,,,
108,11/14/24 01:01:47 PM,0.40234,0.30205,2.03689,0.40467,,,
109,11/14/24 01:01:48 PM,0.40188,0.30217,2.04273,0.40320,,,
110,11/14/24 01:01:49 PM,0.40112,0.29995,2.00286,0.40064,,,
111,11/14/24 01:01:50 PM,0.40215,0.29934,1.90082,0.40540,,,
112,11/14/24 01:01:51 PM,0.40101,0.29980,1.82105,0.40284,,,
113,11/14/24 01:01:52 PM,0.39998,0.29870,1.60288,0.40064,,,
114,11/14/24 01:01:53 PM,0.39925,0.30022,1.38846,0.40284,,,
115,11/14/24 01:01:54 PM,0.40097,0.30011,1.40562,0.40430,,,
116,11/14/24 01:01:55 PM,0.40242,0.30117,1.41119,0.40430,,,
117,11/14/24 01:01:56 PM,0.40421,0.29797,1.69512,0.40430,,,
118,11/14/24 01:01:57 PM,0.40146,0.30201,1.91283,0.40174,,,
119,11/14/24 01:01:58 PM,0.40208,0.30148,2.04994,0.40320,,,
120,11/14/24 01:01:59 PM,0.40291,0.30026,2.02811,0.40284,,,
121,11/14/24 01:02:00 PM,0.40387,0.30270,1.91741,0.40540,,,
122,11/14/24 01:02:01 PM,0.40322,0.30312,1.69055,0.40577,,,
123,11/14/24 01:02:02 PM,0.40108,0.30053,1.43130,0.40430,,,
124,11/14/24 01:02:03 PM,0.40356,0.30358,1.47700,0.40467,,,
125,11/14/24 01:02:04 PM,0.40105,0.30343,1.67163,0.40430,,,
126,11/14/24 01:02:05 PM,0.40467,0.30289,2.01049,0.40284,,,
127,11/14/24 01:02:06 PM,0.39849,0.30369,2.02239,0.40211,,,
128,11/14/24 01:02:07 PM,0.40269,0.30205,2.05806,0.40247,,,
129,11/14/24 01:02:08 PM,0.40238,0.30041,1.94053,0.40430,,,
130,11/14/24 01:02:09 PM,0.40280,0.30266,1.80091,0.40357,,,
131,11/14/24 01:02:10 PM,0.40398,0.30110,1.44831,0.40174,,,
132,11/14/24 01:02:11 PM,0.40188,0.30255,1.43404,0.40394,,,
133,11/14/24 01:02:12 PM,0.40318,0.30152,1.74941,0.40320,,,
134,11/14/24 01:02:13 PM,0.40162,0.30224,2.04433,0.40247,,,
135,11/14/24 01:02:14 PM,0.39948,0.30167,2.01884,0.40174,,,
136,11/14/24 01:02:15 PM,0.39673,0.30457,1.82620,0.40320,,,
137,11/14/24 01:02:16 PM,0.40024,0.30182,1.36664,0.40137,,,
138,11/14/24 01:02:17 PM,0.39731,0.30392,1.46223,0.39991,,,
139,11/14/24 01:02:18 PM,0.39971,0.30156,1.71004,0.39954,,,
140,11/14/24 01:02:19 PM,0.39776,0.30228,2.04753,0.40027,,,
141,11/14/24 01:02:20 PM,0.40005,0.30323,2.03765,0.40137,,,
142,11/14/24 01:02:21 PM,0.39834,0.29900,1.96498,0.40211,,,
143,11/14/24 01:02:22 PM,0.39811,0.29797,1.71847,0.40101,,,
144,11/14/24 01:02:23 PM,0.39879,0.30194,1.42027,0.40211,,,
145,11/14/24 01:02:24 PM,0.40188,0.30301,1.46143,0.40430,,,
146,11/14/24 01:02:25 PM,0.40188,0.30213,1.76009,0.40357,,,
147,11/14/24 01:02:26 PM,0.40188,0.30289,1.96197,0.40467,,,
148,11/14/24 01:02:27 PM,0.40120,0.30186,2.05047,0.40320,,,
149,11/14/24 01:02:28 PM,0.40311,0.30251,2.05116,0.40430,,,
150,11/14/24 01:02:29 PM,0.39887,0.30220,1.86732,0.40284,,,
151,11/14/24 01:02:30 PM,0.40276,0.30232,1.74044,0.40394,,,
152,11/14/24 01:02:31 PM,0.40173,0.30293,1.36667,0.40284,,,
153,11/14/24 01:02:32 PM,0.40066,0.30316,1.84207,0.40284,,,
154,11/14/24 01:02:33 PM,0.40154,0.30278,2.00469,0.40211,,,
155,11/14/24 01:02:34 PM,0.40021,0.30003,2.03098,0.40137,,,
156,11/14/24 01:02:35 PM,0.39841,0.30251,2.03731,0.40320,,,
157,11/14/24 01:02:36 PM,0.40124,0.30327,1.94610,0.40467,,,
158,11/14/24 01:02:37 PM,0.40299,0.30358,1.78336,0.40101,,,
159,11/14/24 01:02:38 PM,0.40295,0.30137,1.57355,0.40467,,,
160,11/14/24 01:02:39 PM,0.40082,0.30282,1.35443,0.40540,,,
161,11/14/24 01:02:40 PM,0.40330,0.30350,1.51137,0.39991,,,
162,11/14/24 01:02:41 PM,0.40105,0.30510,1.91184,0.40211,,,
163,11/14/24 01:02:42 PM,0.39937,0.30354,2.02083,0.40284,,,
164,11/14/24 01:02:43 PM,0.39857,0.30293,1.98112,0.40174,,,
165,11/14/24 01:02:44 PM,0.39944,0.30346,1.79103,0.40320,,,
166,11/14/24 01:02:45 PM,0.40047,0.30232,1.48207,0.40137,,,
167,11/14/24 01:02:46 PM,0.39784,0.30144,1.38422,0.39844,,,
168,11/14/24 01:02:47 PM,0.39799,0.30312,1.45846,0.39918,,,
169,11/14/24 01:02:48 PM,0.39818,0.30053,1.52789,0.39991,,,
170,11/14/24 01:02:49 PM,0.39799,0.30175,1.85897,0.40064,,,
171,11/14/24 01:02:50 PM,0.39857,0.30106,1.98451,0.40174,,,
172,11/14/24 01:02:51 PM,0.39956,0.30011,2.02998,0.40137,,,
173,11/14/24 01:02:52 PM,0.40112,0.30385,2.03449,0.40137,,,
174,11/14/24 01:02:53 PM,0.40021,0.30446,1.90246,0.40211,,,
175,11/14/24 01:02:54 PM,0.39826,0.30419,1.63054,0.39991,,,
176,11/14/24 01:02:55 PM,0.40120,0.30331,1.41680,0.40101,,,
177,11/14/24 01:02:56 PM,0.39994,0.30083,1.44644,0.40357,,,
178,11/14/24 01:02:57 PM,0.40089,0.30308,1.70134,0.40247,,,
179,11/14/24 01:02:58 PM,0.40181,0.30251,1.78279,0.40357,,,
180,11/14/24 01:02:59 PM,0.39925,0.30507,1.83154,0.40284,,,
181,11/14/24 01:03:00 PM,0.40131,0.30198,1.89437,0.40284,,,
182,11/14/24 01:03:01 PM,0.40089,0.30304,2.04475,0.40394,,,
183,11/14/24 01:03:02 PM,0.40360,0.29919,2.05337,0.40394,,,
184,11/14/24 01:03:03 PM,0.40288,0.30198,1.85798,0.40394,,,
185,11/14/24 01:03:04 PM,0.39780,0.29950,1.44793,0.40247,,,
186,11/14/24 01:03:05 PM,0.40173,0.30278,1.57469,0.40320,,,
187,11/14/24 01:03:06 PM,0.39967,0.30354,2.05745,0.40247,,,
188,11/14/24 01:03:07 PM,0.39956,0.30251,1.95251,0.40247,,,
189,11/14/24 01:03:08 PM,0.40139,0.30037,1.46639,0.40320,,,
190,11/14/24 01:03:09 PM,0.40074,0.30255,1.67918,0.40430,,,
191,11/14/24 01:03:10 PM,0.40253,0.30114,2.00069,0.40320,,,
192,11/14/24 01:03:11 PM,0.40078,0.30068,2.03876,0.40137,,,
193,11/14/24 01:03:12 PM,0.40036,0.30301,2.01034,0.40320,,,
194,11/14/24 01:03:13 PM,0.40085,0.30308,1.83192,0.40430,,,
195,11/14/24 01:03:14 PM,0.39837,0.30495,1.52945,0.40320,,,
196,11/14/24 01:03:15 PM,0.39734,0.30240,1.37289,0.40101,,,
197,11/14/24 01:03:16 PM,0.39918,0.30133,1.47570,0.40064,,,
198,11/14/24 01:03:17 PM,0.40013,0.30217,1.68177,0.40320,,,
199,11/14/24 01:03:18 PM,0.40249,0.30198,1.93454,0.40174,,,
200,11/14/24 01:03:19 PM,0.40066,0.30144,2.02544,0.40211,,,
201,11/14/24 01:03:20 PM,0.39757,0.30179,2.03109,0.40064,,,
202,11/14/24 01:03:21 PM,0.40036,0.30137,2.05055,0.39808,,,
203,11/14/24 01:03:22 PM,0.39807,0.30247,1.97124,0.39954,,,
204,11/14/24 01:03:23 PM,0.39677,0.30358,1.93320,0.40064,,,
205,11/14/24 01:03:24 PM,0.39872,0.30373,1.80304,0.40174,,,
206,11/14/24 01:03:25 PM,0.39773,0.30201,1.79755,0.39808,,,
207,11/14/24 01:03:26 PM,0.40078,0.30045,1.43072,0.40247,,,
208,11/14/24 01:03:27 PM,0.39940,0.30213,1.42153,0.40064,,,
209,11/14/24 01:03:28 PM,0.40253,0.30259,1.37034,0.40430,,,
210,11/14/24 01:03:29 PM,0.39975,0.30179,1.41165,0.40211,,,
211,11/14/24 01:03:30 PM,0.39933,0.30102,1.43984,0.40211,,,
212,11/14/24 01:03:31 PM,0.40249,0.30133,1.39368,0.40211,,,
213,11/14/24 01:03:32 PM,0.40204,0.30171,1.63275,0.40211,,,
214,11/14/24 01:03:33 PM,0.39708,0.30182,1.74247,0.39991,,,
215,11/14/24 01:03:34 PM,0.39765,0.30346,1.99489,0.40064,,,
216,11/14/24 01:03:35 PM,0.39788,0.30152,2.02739,0.40247,,,
217,11/14/24 01:03:36 PM,0.39899,0.30125,2.03807,0.39808,,,
218,11/14/24 01:03:37 PM,0.39807,0.30144,1.97688,0.39734,,,
219,11/14/24 01:03:38 PM,0.40009,0.30400,1.83371,0.40760,,,
220,11/14/24 01:03:39 PM,0.40578,0.30339,1.44839,0.40650,,,
221,11/14/24 01:03:40 PM,0.40528,0.30083,1.40505,0.40723,,,
222,11/14/24 01:03:41 PM,0.40341,0.30018,1.87770,0.40613,,,
223,11/14/24 01:03:42 PM,0.40364,0.30041,2.03265,0.40540,,,
224,11/14/24 01:03:43 PM,0.40227,0.30449,1.99306,0.40504,,,
225,11/14/24 01:03:44 PM,0.39746,0.30026,1.65682,0.39954,,,
226,11/14/24 01:03:45 PM,0.39960,0.30148,1.43343,0.39954,,,
227,11/14/24 01:03:46 PM,0.39422,0.30003,1.49950,0.39954,,,
228,11/14/24 01:03:47 PM,0.39792,0.30251,1.87121,0.39698,,,
229,11/14/24 01:03:48 PM,0.39700,0.30053,2.01434,0.39625,,,
230,11/14/24 01:03:49 PM,0.39643,0.30076,2.03052,0.39808,,,
231,11/14/24 01:03:50 PM,0.39803,0.30137,1.99172,0.39918,,,
232,11/14/24 01:03:51 PM,0.39895,0.30259,1.67903,0.39954,,,
233,11/14/24 01:03:52 PM,0.39750,0.30266,1.47143,0.40211,,,
234,11/14/24 01:03:53 PM,0.40127,0.30320,1.87057,0.40357,,,
235,11/14/24 01:03:54 PM,0.40089,0.30247,2.04643,0.40320,,,
236,11/14/24 01:03:55 PM,0.40177,0.30377,1.89261,0.40284,,,
237,11/14/24 01:03:56 PM,0.40047,0.30537,1.77180,0.40357,,,
238,11/14/24 01:03:57 PM,0.40410,0.30152,1.40475,0.40394,,,
239,11/14/24 01:03:58 PM,0.40043,0.30056,1.64652,0.40320,,,
240,11/14/24 01:03:59 PM,0.40089,0.30144,2.00195,0.40540,,,
241,11/14/24 01:04:00 PM,0.40349,0.30011,2.02815,0.40504,,,
242,11/14/24 01:04:01 PM,0.40063,0.30072,2.05623,0.40394,,,
243,11/14/24 01:04:02 PM,0.40146,0.30278,2.00618,0.40357,,,
244,11/14/24 01:04:03 PM,0.40116,0.30049,2.02308,0.40211,,,
245,11/14/24 01:04:04 PM,0.40200,0.30289,1.84710,0.40357,,,
246,11/14/24 01:04:05 PM,0.39788,0.30262,1.70298,0.39954,,,
247,11/14/24 01:04:06 PM,0.39990,0.30259,1.36172,0.39808,,,
248,11/14/24 01:04:07 PM,0.39799,0.30289,1.44137,0.40101,,,
249,11/14/24 01:04:08 PM,0.39826,0.30243,1.71378,0.39954,,,
250,11/14/24 01:04:09 PM,0.39815,0.30011,2.02922,0.40174,,,
251,11/14/24 01:04:10 PM,0.39815,0.30240,2.05715,0.39991,,,
252,11/14/24 01:04:11 PM,0.39803,0.30278,1.76791,0.40027,,,
253,11/14/24 01:04:12 PM,0.39887,0.30411,1.43099,0.40211,,,
254,11/14/24 01:04:13 PM,0.39731,0.30186,1.48058,0.39881,,,
255,11/14/24 01:04:14 PM,0.39956,0.30289,1.86954,0.40101,,,
256,11/14/24 01:04:15 PM,0.39700,0.30072,2.02358,0.40064,,,
257,11/14/24 01:04:16 PM,0.39380,0.30098,2.04147,0.39698,,,
258,11/14/24 01:04:17 PM,0.39696,0.30030,1.98009,0.40137,,,
259,11/14/24 01:04:18 PM,0.39860,0.30133,1.85225,0.40320,,,
260,11/14/24 01:04:19 PM,0.39788,0.30217,1.40826,0.40137,,,
261,11/14/24 01:04:20 PM,0.40043,0.30243,1.43214,0.40137,,,
262,11/14/24 01:04:21 PM,0.39853,0.30362,1.94022,0.40101,,,
263,11/14/24 01:04:22 PM,0.40059,0.30240,2.02304,0.40101,,,
264,11/14/24 01:04:23 PM,0.39918,0.30339,1.97040,0.40064,,,
265,11/14/24 01:04:24 PM,0.39597,0.30110,1.85714,0.39918,,,
266,11/14/24 01:04:25 PM,0.39868,0.30419,1.67941,0.40247,,,
267,11/14/24 01:04:26 PM,0.39811,0.30282,1.43191,0.40174,,,
268,11/14/24 01:04:27 PM,0.39830,0.30407,1.43671,0.40101,,,
269,11/14/24 01:04:28 PM,0.40002,0.30465,1.99714,0.39844,,,
270,11/14/24 01:04:29 PM,0.40169,0.30110,2.03407,0.40211,,,
271,11/14/24 01:04:30 PM,0.39979,0.30457,1.98821,0.40211,,,
272,11/14/24 01:04:31 PM,0.40078,0.30415,1.86484,0.40357,,,
273,11/14/24 01:04:32 PM,0.40341,0.30323,1.48016,0.40174,,,
274,11/14/24 01:04:33 PM,0.40032,0.30465,1.45117,0.40320,,,
275,11/14/24 01:04:34 PM,0.40082,0.30335,1.73701,0.40284,,,
276,11/14/24 01:04:35 PM,0.39967,0.30110,1.98833,0.40101,,,
277,11/14/24 01:04:36 PM,0.40085,0.30106,2.04204,0.40211,,,
278,11/14/24 01:04:37 PM,0.40208,0.30175,2.05406,0.40101,,,
279,11/14/24 01:04:38 PM,0.40105,0.30259,1.94285,0.40137,,,
280,11/14/24 01:04:39 PM,0.39811,0.30209,1.88262,0.40174,,,
281,11/14/24 01:04:40 PM,0.39837,0.30240,1.76642,0.40064,,,
282,11/14/24 01:04:41 PM,0.39784,0.29927,1.74041,0.40174,,,
283,11/14/24 01:04:42 PM,0.39773,0.30133,1.45407,0.39954,,,
284,11/14/24 01:04:43 PM,0.39967,0.30308,1.44003,0.39808,,,
285,11/14/24 01:04:44 PM,0.39605,0.30076,1.36030,0.40101,,,
286,11/14/24 01:04:45 PM,0.39780,0.30049,1.47246,0.40064,,,
287,11/14/24 01:04:46 PM,0.39979,0.29885,1.54784,0.39808,,,
288,11/14/24 01:04:47 PM,0.39799,0.30167,1.93881,0.40247,,,
289,11/14/24 01:04:48 PM,0.40032,0.30022,2.00706,0.40247,,,
290,11/14/24 01:04:49 PM,0.39918,0.30117,2.04093,0.40394,,,
291,11/14/24 01:04:50 PM,0.40108,0.30209,2.01713,0.40247,,,
292,11/14/24 01:04:51 PM,0.40085,0.30251,2.03651,0.40540,,,
293,11/14/24 01:04:52 PM,0.40280,0.30087,2.05108,0.40320,,,
294,11/14/24 01:04:53 PM,0.40127,0.30182,2.00011,0.40284,,,
295,11/14/24 01:04:54 PM,0.40192,0.30041,2.02117,0.40174,,,
296,11/14/24 01:04:55 PM,0.39952,0.29950,1.91794,0.40357,,,
297,11/14/24 01:04:56 PM,0.39910,0.29828,1.92714,0.40101,,,
298,11/14/24 01:04:57 PM,0.39963,0.29973,1.73491,0.40064,,,
299,11/14/24 01:04:58 PM,0.40078,0.30011,1.48695,0.40027,,,
300,11/14/24 01:04:59 PM,0.39754,0.30362,1.37266,0.40137,,,
301,11/14/24 01:05:00 PM,0.40059,0.30568,1.41932,0.39808,,,
302,11/14/24 01:05:01 PM,0.39696,0.30217,1.40501,0.40027,,,
303,11/14/24 01:05:02 PM,0.39857,0.30297,1.42298,0.39844,,,
304,11/14/24 01:05:03 PM,0.39799,0.30209,1.44949,0.39844,,,
305,11/14/24 01:05:04 PM,0.39979,0.30243,1.57149,0.39918,,,
306,11/14/24 01:05:05 PM,0.39734,0.30030,1.74056,0.40101,,,
307,11/14/24 01:05:06 PM,0.39967,0.30163,2.02350,0.39918,,,
308,11/14/24 01:05:07 PM,0.39601,0.29927,2.00725,0.39918,,,
309,11/14/24 01:05:08 PM,0.39677,0.29824,2.03063,0.39734,,,
310,11/14/24 01:05:09 PM,0.39723,0.30095,1.84882,0.39698,,,
311,11/14/24 01:05:10 PM,0.39670,0.30091,1.57351,0.39734,,,
312,11/14/24 01:05:11 PM,0.39769,0.30037,1.42527,0.40101,,,
313,11/14/24 01:05:12 PM,0.39872,0.30240,1.63615,0.39954,,,
314,11/14/24 01:05:13 PM,0.39906,0.29984,2.00782,0.40027,,,
315,11/14/24 01:05:14 PM,0.39971,0.29984,2.04234,0.39918,,,
316,11/14/24 01:05:15 PM,0.40059,0.29889,1.86946,0.40394,,,
317,11/14/24 01:05:16 PM,0.39872,0.30064,1.54314,0.40174,,,
318,11/14/24 01:05:17 PM,0.40154,0.30171,1.41947,0.40174,,,
319,11/14/24 01:05:18 PM,0.39982,0.30034,1.81415,0.40467,,,
320,11/14/24 01:05:19 PM,0.40024,0.30076,2.03197,0.40174,,,
321,11/14/24 01:05:20 PM,0.39944,0.30129,1.97829,0.40174,,,
322,11/14/24 01:05:21 PM,0.39822,0.30068,1.80076,0.40174,,,
323,11/14/24 01:05:22 PM,0.39933,0.29911,1.35100,0.40064,,,
324,11/14/24 01:05:23 PM,0.40108,0.30106,1.47208,0.40357,,,
325,11/14/24 01:05:24 PM,0.40154,0.30167,1.73899,0.40101,,,
326,11/14/24 01:05:25 PM,0.39994,0.30163,1.92809,0.40247,,,
327,11/14/24 01:05:26 PM,0.39807,0.29995,2.00378,0.39808,,,
328,11/14/24 01:05:27 PM,0.40017,0.30056,2.04509,0.40211,,,
329,11/14/24 01:05:28 PM,0.40028,0.30320,2.04273,0.40137,,,
330,11/14/24 01:05:29 PM,0.39807,0.30053,2.01812,0.40101,,,
331,11/14/24 01:05:30 PM,0.39918,0.30179,1.83425,0.40027,,,
332,11/14/24 01:05:31 PM,0.39803,0.30087,1.51961,0.40027,,,
333,11/14/24 01:05:32 PM,0.39620,0.29866,1.44404,0.39881,,,
334,11/14/24 01:05:33 PM,0.39750,0.29858,1.83177,0.39808,,,
335,11/14/24 01:05:34 PM,0.39811,0.29843,2.02029,0.39771,,,
336,11/14/24 01:05:35 PM,0.39590,0.30003,2.01995,0.40101,,,
